Sentence,Source,SourceType
"And, besides, no traces of them were to be found on the Barnet road. Well, then,--supposing them to be in London--they may be there, though for the purpose of concealment, for no more exceptionable purpose.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"By Elizabeth s instructions she began to comprehend that a woman may take liberties with her husband, which a brother will not always allow in a sister more than ten years younger than himself.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
I am sure you neglect nothing that can add to the beauties of that noble place.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Lydia does not leave me because she is married; but only because her husband s regiment happens to be so far off.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"“If you can't explain it to a six year old, you don't understand it yourself.”",http://quotes.toscrape.com/page/2/,quote
"Do not imagine, Miss Bennet, that your ambition will ever be gratified.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Nearly all of them would have been in speechless awe of the magnificent Darcy; nearly all of them would have palpitated and fluttered at the idea of proposals, even naughty ones, from the fascinating Wickham.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bingley likes, said her mother, resentfully, since we are not to visit. But you forget, mamma, said Elizabeth, that we shall meet him at the assemblies, and that Mrs.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet, who was most anxious to get rid of him, and have his library to himself; for thither Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"She got up and ran out of the room; and returned no more, till she heard them passing through the hall to the dining-parlour.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
But it was not to be.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Oh yes--I understand you perfectly. I wish I might take this for a compliment; but to be so easily seen through, I am afraid, is pitiful. That is as it happens.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"By this time, my dearest sister, you have received my hurried letter; I wish this may be more intelligible, but though not confined for time, my head is so bewildered that I cannot answer for being coherent.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Collins was impossible or non-existent at the end of the eighteenth century.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"[Illustration: Walked back with them [_Copyright 1894 by George Allen._]] Soon after their return, a letter was delivered to Miss Bennet; it came from Netherfield, and was opened immediately.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"I dearly love a laugh. Miss Bingley, said he, has given me credit for more than can be.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"He was as generous, she doubted not, as the most generous of his sex.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,http://quotes.toscrape.com/page/1/,quote
I dare say I shall soon see them here. Elizabeth shook her head over this letter.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"He was as much awake to the novelty of attention in that quarter as Elizabeth herself could be, and unconsciously closed his book.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Darcy could be so unworthy of Mr.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"For my part, I am inclined to believe it all Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Anxiety on Jane s behalf was another prevailing concern; and Mr.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Implacable resentment _is_ a shade in a character.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet had time to tell him of their having seen his aunt, of which her daughter sat in momentary dread, Bingley, who wanted to be alone with Jane, proposed their all walking out.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
What advantage can it be to you to offend Mr.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"I should have considered it as part of my duty, and the exertion would soon have been nothing.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet with a degree of civility which made her two daughters ashamed, especially when contrasted with the cold and ceremonious politeness of her courtesy and address of his friend.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Gardiner did--a question which she could not answer without confusion--said scarcely anything.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
London George Allen.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"His temptation is not adequate to the risk. Do you really think so? cried Elizabeth, brightening up for a moment.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"To the civil inquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"It seems likely to have been a desirable match for Jane, said she.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"She wished to discredit it entirely, repeatedly exclaiming, This must be false!",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"I should be glad to take a turn in it, if you will favour me with your company. Go, my dear, cried her mother, and show her Ladyship about the different walks.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Our distress, my dear Lizzy, is very great.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"There was no help for it, however.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Not that I care about it, though.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Darcy is not so well worth listening to as his friend, is he?",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Many stared--many smiled; but no one looked more amused than Mr.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
The certainty of meeting him had not been checked by any of those recollections that might not unreasonably have alarmed her.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
She has two nieces of her own.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Wickham ought not to be a clergyman.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"His wife was evidently, and must always have been, a quite irreclaimable fool; and unless he had shot her or himself there was no way out of it for a man of sense and spirit but the ironic.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"I was angry, perhaps, at first, but my anger soon began to take a proper direction. I am almost afraid of asking what you thought of me when we met at Pemberley.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
How despicably have I acted! she cried.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Darcy walk into the room.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Collins, moreover, adds, I am truly rejoiced that my cousin Lydia s sad business has been so well hushed up, and am only concerned that their living together before the marriage took place should be so generally known.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Collins s offer was now nearly at an end, and Elizabeth had only to suffer from the uncomfortable feelings necessarily attending it, and occasionally from some peevish allusion of her mother.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Though our kind uncle has done something towards clearing him, I cannot believe that ten thousand pounds, or anything like it, has been advanced.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
She cared for none of her friends; she wanted no help of his; she would not hear of leaving Wickham.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
